scorer,normalization,gamma,rho,ssb_r1,hdfs_family_common,hdfs_family_rare,haystack_needles,seconds
ses,max,0.125,0.9,1.0000,0.8415,0.3000,0.9200,35
ses,max,0.125,0.95,1.0000,0.8415,0.3000,0.9200,35
ses,max,0.25,0.9,1.0000,0.8415,0.3000,0.9200,35
ses,max,0.25,0.95,1.0000,0.8415,0.3000,0.9200,35
ses,max,0.5,0.9,1.0000,0.8377,0.3000,0.9200,34
ses,max,0.5,0.95,1.0000,0.8377,0.3000,0.9200,34
ses,target,0.125,0.9,1.0000,0.7962,0.3000,0.9000,35
ses,target,0.125,0.95,1.0000,0.7962,0.3000,0.9000,35
ses,target,0.25,0.9,1.0000,0.8000,0.3000,0.9000,35
ses,target,0.25,0.95,1.0000,0.8000,0.3000,0.9000,35
ses,target,0.5,0.9,1.0000,0.8000,0.2000,0.9000,34
ses,target,0.5,0.95,1.0000,0.8000,0.2000,0.9000,34
surprisal,max,0.125,0.9,0.7917,0.8491,0.3000,0.9200,38
surprisal,max,0.125,0.95,1.0000,0.8491,0.3000,0.9200,38
surprisal,max,0.25,0.9,0.7917,0.8491,0.3000,0.9200,38
surprisal,max,0.25,0.95,1.0000,0.8491,0.3000,0.9200,38
surprisal,max,0.5,0.9,0.7917,0.8491,0.3000,0.9200,38
surprisal,max,0.5,0.95,1.0000,0.8491,0.3000,0.9200,38
surprisal,target,0.125,0.9,1.0000,0.8000,0.3000,0.9000,38
surprisal,target,0.125,0.95,1.0000,0.8000,0.3000,0.9000,38
surprisal,target,0.25,0.9,1.0000,0.7962,0.3000,0.9000,38
surprisal,target,0.25,0.95,1.0000,0.7962,0.3000,0.9000,38
surprisal,target,0.5,0.9,1.0000,0.8075,0.3000,0.9000,38
surprisal,target,0.5,0.95,1.0000,0.8075,0.3000,0.9000,38
