arm,memory,n,score_threshold,accuracy,citation_faithfulness,abstain_recall,false_abstain,selective_accuracy,aurc,grounding_auroc,novelty_recall,novelty_f1
medicine,none,240,,0.0,,0.5583333333333333,0.6166666666666667,0.2791666666666667,1.0,,0.0,0.0
medicine,dense,240,0.8504619300365448,0.008333333333333333,1.0,1.0,0.9916666666666667,0.5041666666666667,0.9747502646882501,0.548125,0.8583333333333333,0.6477987421383649
medicine,sma,240,59.58170983286898,0.3,0.5625,0.8916666666666667,0.4666666666666667,0.5958333333333333,0.6628623237061905,0.7934722222222222,0.875,0.7894736842105263
genomics,none,240,,0.0,,0.9583333333333334,0.925,0.4791666666666667,1.0,,0.0,0.0
genomics,dense,240,0.8481639921665192,0.125,0.4166666666666667,0.8583333333333333,0.7,0.49166666666666664,0.8148133408430813,0.6895138888888889,0.6916666666666667,0.6639999999999999
genomics,sma,240,65.6636460714617,0.5166666666666667,0.7848101265822784,0.9583333333333334,0.3416666666666667,0.7375,0.4515700411441715,0.8695138888888889,0.9416666666666667,0.8308823529411765
finance,none,203,,0.0,,0.963855421686747,0.975,0.39408866995073893,1.0,,0.0,0.0
finance,dense,203,0.8700045645236969,0.03333333333333333,0.12903225806451613,0.8433734939759037,0.7416666666666667,0.3645320197044335,0.9458667912144042,0.619277108433735,0.7469879518072289,0.5740740740740741
finance,sma,203,54.516656858262465,0.1,0.23529411764705882,0.6987951807228916,0.575,0.3448275862068966,0.8755679662279707,0.5774096385542169,0.3373493975903614,0.39436619718309857
legal,none,240,,0.0,,0.9416666666666667,0.9333333333333333,0.4708333333333333,1.0,,0.0,0.0
legal,dense,240,0.7680407464504242,0.39166666666666666,0.7580645161290323,0.8,0.48333333333333334,0.5958333333333333,0.5707275220818825,0.7206944444444444,0.7166666666666667,0.6852589641434262
legal,sma,240,57.17335861601224,0.5833333333333334,0.7142857142857143,0.9583333333333334,0.18333333333333332,0.7708333333333334,0.47107633253894915,0.9840625,0.95,0.9539748953974896
cyber,none,68,,0.0,,0.4090909090909091,0.6086956521739131,0.1323529411764706,1.0,,0.0,0.0
cyber,dense,68,0.8060965836048126,0.21739130434782608,0.625,0.9090909090909091,0.6521739130434783,0.4411764705882353,0.6206681613783263,0.7045454545454546,0.6818181818181818,0.5660377358490567
cyber,sma,68,35.631916940058765,0.34782608695652173,0.5161290322580645,0.9090909090909091,0.32608695652173914,0.5294117647058824,0.5659367174207578,0.8191699604743083,0.9090909090909091,0.7272727272727273
