arm,method,t5_rare,t5_all,delta_vs_sma,ci_low,ci_high,p,p_holm,cliffs
A1-hpo-rare-disease,SMA,0.9167,0.9111,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000
A1-hpo-rare-disease,Phenomizer(IC-BMA),0.9519,0.9444,-0.0353,-0.0705,-0.0032,0.0466,0.0466,-0.0353
A1-hpo-rare-disease,Jaccard,0.7083,0.7111,0.2083,0.1506,0.2660,0.0002,0.0012,0.2083
A1-hpo-rare-disease,Dense-RAG(TF-IDF),0.6218,0.6167,0.2949,0.2372,0.3526,0.0002,0.0012,0.2949
A1-hpo-rare-disease,Dense-RAG+ancestors,0.5609,0.5472,0.3558,0.2981,0.4167,0.0002,0.0012,0.3558
A1-hpo-rare-disease,BM25,0.7308,0.7083,0.1859,0.1314,0.2436,0.0002,0.0012,0.1859
A1-hpo-rare-disease,BM25+ancestors,0.7147,0.6944,0.2019,0.1474,0.2596,0.0002,0.0012,0.2019
A2-go-gene-function,SMA,0.8465,0.7750,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000
A2-go-gene-function,Phenomizer(IC-BMA),0.8596,0.7861,-0.0132,-0.0658,0.0395,0.6773,0.6773,-0.0132
A2-go-gene-function,Jaccard,0.7368,0.6972,0.1096,0.0482,0.1711,0.0004,0.0012,0.1096
A2-go-gene-function,Dense-RAG(TF-IDF),0.7193,0.6722,0.1272,0.0614,0.1930,0.0002,0.0012,0.1272
A2-go-gene-function,Dense-RAG+ancestors,0.4649,0.4528,0.3816,0.3114,0.4518,0.0002,0.0012,0.3816
A2-go-gene-function,BM25,0.7763,0.7000,0.0702,0.0088,0.1316,0.0382,0.0764,0.0702
A2-go-gene-function,BM25+ancestors,0.5044,0.4389,0.3421,0.2719,0.4167,0.0002,0.0012,0.3421
